;а;б;в;г;д;е;ё;ж;з;и;й;к;л;м;н;о;п;р;с;т;у;ф;х;ц;ч;ш;щ;ъ;ы;ь;э;ю;я;
а;0.00000;0.09606;0.05604;0.00801;0.02402;0.00000;0.00000;0.04803;0.07205;0.04003;0.00000;0.06404;0.16011;0.06404;0.02402;0.02402;0.02402;0.04803;0.08806;0.07205;0.00000;0.00000;0.00801;0.00000;0.01601;0.00000;0.00801;0.00000;0.00000;0.00000;0.00801;0.00000;0.04803;
б;0.24259;0.00000;0.00000;0.00000;0.00000;0.03032;0.00000;0.00000;0.00000;0.03032;0.00000;0.00000;0.03032;0.00000;0.00000;0.09097;0.00000;0.09097;0.00000;0.00000;0.33356;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.12129;0.00000;0.00000;0.00000;0.03032;
в;0.14295;0.00000;0.00000;0.00000;0.03177;0.12707;0.00000;0.00000;0.01588;0.09530;0.00000;0.03177;0.04765;0.01588;0.07942;0.22237;0.03177;0.00000;0.09530;0.00000;0.03177;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.01588;0.00000;0.00000;0.00000;0.01588;
г;0.00000;0.00000;0.00000;0.00000;0.36867;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.05267;0.00000;0.00000;0.47400;0.00000;0.00000;0.00000;0.00000;0.10533;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
д;0.23545;0.00000;0.00000;0.00000;0.00000;0.23545;0.00000;0.00000;0.00000;0.05886;0.00000;0.00000;0.05886;0.00000;0.05886;0.17659;0.00000;0.00000;0.01962;0.00000;0.07848;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.07848;0.00000;0.00000;0.00000;0.00000;
е;0.00000;0.00820;0.05742;0.04101;0.04101;0.02461;0.00000;0.00000;0.00820;0.10663;0.00000;0.03281;0.05742;0.01640;0.12303;0.04101;0.03281;0.06562;0.14764;0.07382;0.00820;0.00000;0.01640;0.00000;0.03281;0.03281;0.01640;0.00000;0.00000;0.00000;0.00000;0.00000;0.01640;
ё;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
ж;0.05267;0.00000;0.00000;0.00000;0.15800;0.26333;0.00000;0.00000;0.00000;0.36867;0.00000;0.00000;0.00000;0.00000;0.15800;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
з;0.32164;0.00000;0.10721;0.03574;0.00000;0.03574;0.00000;0.03574;0.00000;0.10721;0.00000;0.03574;0.00000;0.03574;0.17869;0.00000;0.00000;0.00000;0.00000;0.00000;0.03574;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.03574;0.00000;0.00000;0.00000;0.03574;
и;0.00000;0.01682;0.07568;0.01682;0.04204;0.03364;0.00000;0.02523;0.06727;0.08409;0.00000;0.03364;0.10932;0.03364;0.12613;0.03364;0.03364;0.04204;0.03364;0.07568;0.00000;0.00000;0.01682;0.01682;0.02523;0.00841;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.04204;
