;а;б;в;г;д;е;ё;ж;з;и;й;к;л;м;н;о;п;р;с;т;у;ф;х;ц;ч;ш;щ;ъ;ы;ь;э;ю;я;
а;0.00000;0.00801;0.00467;0.00067;0.00200;0.00000;0.00000;0.00401;0.00601;0.00334;0.00000;0.00534;0.01335;0.00534;0.00200;0.00200;0.00200;0.00401;0.00734;0.00601;0.00000;0.00000;0.00067;0.00000;0.00134;0.00000;0.00067;0.00000;0.00000;0.00000;0.00067;0.00000;0.00401;
б;0.00534;0.00000;0.00000;0.00000;0.00000;0.00067;0.00000;0.00000;0.00000;0.00067;0.00000;0.00000;0.00067;0.00000;0.00000;0.00200;0.00000;0.00200;0.00000;0.00000;0.00734;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00267;0.00000;0.00000;0.00000;0.00067;
в;0.00601;0.00000;0.00000;0.00000;0.00134;0.00534;0.00000;0.00000;0.00067;0.00401;0.00000;0.00134;0.00200;0.00067;0.00334;0.00935;0.00134;0.00000;0.00401;0.00000;0.00134;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00067;0.00000;0.00000;0.00000;0.00067;
г;0.00000;0.00000;0.00000;0.00000;0.00467;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00067;0.00000;0.00000;0.00601;0.00000;0.00000;0.00000;0.00000;0.00134;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
д;0.00801;0.00000;0.00000;0.00000;0.00000;0.00801;0.00000;0.00000;0.00000;0.00200;0.00000;0.00000;0.00200;0.00000;0.00200;0.00601;0.00000;0.00000;0.00067;0.00000;0.00267;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00267;0.00000;0.00000;0.00000;0.00000;
е;0.00000;0.00067;0.00467;0.00334;0.00334;0.00200;0.00000;0.00000;0.00067;0.00868;0.00000;0.00267;0.00467;0.00134;0.01001;0.00334;0.00267;0.00534;0.01202;0.00601;0.00067;0.00000;0.00134;0.00000;0.00267;0.00267;0.00134;0.00000;0.00000;0.00000;0.00000;0.00000;0.00134;
ё;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
ж;0.00067;0.00000;0.00000;0.00000;0.00200;0.00334;0.00000;0.00000;0.00000;0.00467;0.00000;0.00000;0.00000;0.00000;0.00200;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
з;0.00601;0.00000;0.00200;0.00067;0.00000;0.00067;0.00000;0.00067;0.00000;0.00200;0.00000;0.00067;0.00000;0.00067;0.00334;0.00000;0.00000;0.00000;0.00000;0.00000;0.00067;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00067;0.00000;0.00000;0.00000;0.00067;
и;0.00000;0.00134;0.00601;0.00134;0.00334;0.00267;0.00000;0.00200;0.00534;0.00668;0.00000;0.00267;0.00868;0.00267;0.01001;0.00267;0.00267;0.00334;0.00267;0.00601;0.00000;0.00000;0.00134;0.00134;0.00200;0.00067;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00334;
