;а;б;в;г;д;е;ё;ж;з;и;й;к;л;м;н;о;п;р;с;т;у;ф;х;ц;ч;ш;щ;ъ;ы;ь;э;ю;я;
а;0.00000;0.00159;0.00159;0.00000;0.00318;0.00212;0.00000;0.00106;0.00531;0.00159;0.00000;0.01645;0.00265;0.00531;0.00584;0.00159;0.00106;0.00318;0.00637;0.00477;0.00000;0.00000;0.00106;0.00000;0.00000;0.00106;0.00106;0.00000;0.00000;0.00000;0.00000;0.00690;0.00212;
б;0.00796;0.00000;0.00000;0.00000;0.00000;0.00159;0.00000;0.00000;0.00000;0.00212;0.00000;0.00000;0.00000;0.00000;0.00053;0.00531;0.00000;0.00053;0.00053;0.00000;0.00053;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00371;0.00000;0.00000;0.00000;0.00000;
в;0.00690;0.00053;0.00265;0.00000;0.00000;0.00424;0.00000;0.00000;0.00053;0.00531;0.00000;0.00106;0.00106;0.00159;0.00212;0.00849;0.00106;0.00318;0.00159;0.00159;0.00265;0.00000;0.00000;0.00000;0.00000;0.00053;0.00000;0.00000;0.00424;0.00000;0.00000;0.00000;0.00000;
г;0.00159;0.00000;0.00000;0.00000;0.00106;0.00000;0.00000;0.00000;0.00000;0.00106;0.00000;0.00053;0.00000;0.00000;0.00000;0.00318;0.00000;0.00000;0.00000;0.00000;0.00106;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
д;0.00531;0.00000;0.00053;0.00053;0.00000;0.00265;0.00000;0.00000;0.00053;0.00159;0.00000;0.00053;0.00159;0.00000;0.00424;0.00212;0.00000;0.00159;0.00000;0.00000;0.00265;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
е;0.00053;0.00371;0.00690;0.00106;0.00265;0.00159;0.00000;0.00159;0.00424;0.00106;0.00212;0.00477;0.00531;0.00584;0.01061;0.00159;0.00053;0.01379;0.00637;0.00584;0.00053;0.00000;0.00053;0.00000;0.00159;0.00159;0.00053;0.00000;0.00000;0.00000;0.00106;0.00000;0.00000;
ё;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
ж;0.00159;0.00000;0.00000;0.00000;0.00000;0.00318;0.00000;0.00000;0.00000;0.00531;0.00000;0.00000;0.00000;0.00000;0.00053;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
з;0.00318;0.00000;0.00212;0.00000;0.00212;0.00106;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00212;0.00371;0.00212;0.00053;0.00000;0.00000;0.00000;0.00053;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00318;0.00000;0.00000;0.00000;0.00106;
и;0.00053;0.00371;0.00743;0.00000;0.00159;0.00371;0.00000;0.00212;0.00318;0.00743;0.00159;0.00424;0.00371;0.00424;0.00424;0.00424;0.00212;0.00424;0.00690;0.00955;0.00053;0.00053;0.00637;0.00000;0.00159;0.00000;0.00053;0.00000;0.00000;0.00000;0.00000;0.00159;0.00371;
й;0.00000;0.00053;0.00053;0.00000;0.00000;0.00000;0.00000;0.00000;0.00053;0.00053;0.00000;0.00000;0.00053;0.00000;0.00000;0.00053;0.00053;0.00106;0.00053;0.00000;0.00053;0.00000;0.00000;0.00000;0.00000;0.00053;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
к;0.00637;0.00106;0.00000;0.00000;0.00053;0.00053;0.00000;0.00053;0.00000;0.00584;0.00000;0.00000;0.00106;0.00000;0.00053;0.00743;0.00053;0.00265;0.00053;0.00796;0.00106;0.00000;0.00000;0.00106;0.00106;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
л;0.00106;0.00000;0.00000;0.00000;0.00000;0.00955;0.00000;0.00000;0.00000;0.00477;0.00000;0.00000;0.00106;0.00000;0.00053;0.00212;0.00000;0.00000;0.00053;0.00000;0.00159;0.00000;0.00000;0.00000;0.00106;0.00000;0.00000;0.00000;0.00053;0.00584;0.00000;0.00106;0.00159;
м;0.00265;0.00000;0.00053;0.00000;0.00000;0.00424;0.00000;0.00000;0.00000;0.00690;0.00000;0.00053;0.00106;0.00159;0.00265;0.00477;0.00053;0.00053;0.00000;0.00000;0.00477;0.00000;0.00000;0.00000;0.00053;0.00000;0.00000;0.00000;0.00159;0.00000;0.00000;0.00000;0.00000;
