;а;б;в;г;д;е;ё;ж;з;и;й;к;л;м;н;о;п;р;с;т;у;ф;х;ц;ч;ш;щ;ъ;ы;ь;э;ю;я;
а;0.00000;0.02099;0.02099;0.00000;0.04198;0.02799;0.00000;0.01399;0.06997;0.02099;0.00000;0.21690;0.03498;0.06997;0.07696;0.02099;0.01399;0.04198;0.08396;0.06297;0.00000;0.00000;0.01399;0.00000;0.00000;0.01399;0.01399;0.00000;0.00000;0.00000;0.00000;0.09096;0.02799;
б;0.34902;0.00000;0.00000;0.00000;0.00000;0.06980;0.00000;0.00000;0.00000;0.09307;0.00000;0.00000;0.00000;0.00000;0.02327;0.23268;0.00000;0.02327;0.02327;0.00000;0.02327;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.16288;0.00000;0.00000;0.00000;0.00000;
в;0.13986;0.01076;0.05379;0.00000;0.00000;0.08607;0.00000;0.00000;0.01076;0.10758;0.00000;0.02152;0.02152;0.03228;0.04303;0.17213;0.02152;0.06455;0.03228;0.03228;0.05379;0.00000;0.00000;0.00000;0.00000;0.01076;0.00000;0.00000;0.08607;0.00000;0.00000;0.00000;0.00000;
г;0.18760;0.00000;0.00000;0.00000;0.12507;0.00000;0.00000;0.00000;0.00000;0.12507;0.00000;0.06253;0.00000;0.00000;0.00000;0.37520;0.00000;0.00000;0.00000;0.00000;0.12507;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
д;0.22234;0.00000;0.02223;0.02223;0.00000;0.11117;0.00000;0.00000;0.02223;0.06670;0.00000;0.02223;0.06670;0.00000;0.17787;0.08894;0.00000;0.06670;0.00000;0.00000;0.11117;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
е;0.00618;0.04323;0.08029;0.01235;0.03088;0.01853;0.00000;0.01853;0.04941;0.01235;0.02470;0.05559;0.06176;0.06794;0.12352;0.01853;0.00618;0.16058;0.07411;0.06794;0.00618;0.00000;0.00618;0.00000;0.01853;0.01853;0.00618;0.00000;0.00000;0.00000;0.01235;0.00000;0.00000;
ё;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
ж;0.15008;0.00000;0.00000;0.00000;0.00000;0.30016;0.00000;0.00000;0.00000;0.50027;0.00000;0.00000;0.00000;0.00000;0.05003;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
з;0.14642;0.00000;0.09761;0.00000;0.09761;0.04881;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.09761;0.17082;0.09761;0.02440;0.00000;0.00000;0.00000;0.02440;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.14642;0.00000;0.00000;0.00000;0.04881;
и;0.00589;0.04120;0.08240;0.00000;0.01766;0.04120;0.00000;0.02354;0.03531;0.08240;0.01766;0.04708;0.04120;0.04708;0.04708;0.04708;0.02354;0.04708;0.07651;0.10594;0.00589;0.00589;0.07063;0.00000;0.01766;0.00000;0.00589;0.00000;0.00000;0.00000;0.00000;0.01766;0.04120;
й;0.00000;0.08338;0.08338;0.00000;0.00000;0.00000;0.00000;0.00000;0.08338;0.08338;0.00000;0.00000;0.08338;0.00000;0.00000;0.08338;0.08338;0.16676;0.08338;0.00000;0.08338;0.00000;0.00000;0.00000;0.00000;0.08338;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
к;0.16447;0.02741;0.00000;0.00000;0.01371;0.01371;0.00000;0.01371;0.00000;0.15076;0.00000;0.00000;0.02741;0.00000;0.01371;0.19188;0.01371;0.06853;0.01371;0.20559;0.02741;0.00000;0.00000;0.02741;0.02741;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
л;0.03392;0.00000;0.00000;0.00000;0.00000;0.30525;0.00000;0.00000;0.00000;0.15262;0.00000;0.00000;0.03392;0.00000;0.01696;0.06783;0.00000;0.00000;0.01696;0.00000;0.05087;0.00000;0.00000;0.00000;0.03392;0.00000;0.00000;0.00000;0.01696;0.18654;0.00000;0.03392;0.05087;
м;0.08069;0.00000;0.01614;0.00000;0.00000;0.12910;0.00000;0.00000;0.00000;0.20979;0.00000;0.01614;0.03228;0.04841;0.08069;0.14524;0.01614;0.01614;0.00000;0.00000;0.14524;0.00000;0.00000;0.00000;0.01614;0.00000;0.00000;0.00000;0.04841;0.00000;0.00000;0.00000;0.00000;
н;0.21379;0.00855;0.00000;0.00000;0.00855;0.11117;0.00000;0.00000;0.00855;0.15393;0.00000;0.00855;0.00000;0.00000;0.05131;0.13682;0.00855;0.00000;0.02565;0.05131;0.02565;0.00855;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.14538;0.03421;0.00000;0.00000;0.00000;
о;0.00000;0.07186;0.06633;0.04422;0.07186;0.01106;0.00000;0.04422;0.03317;0.02764;0.00553;0.02211;0.08844;0.06081;0.06081;0.01658;0.04422;0.07739;0.07186;0.12714;0.00553;0.00000;0.00000;0.00553;0.03869;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00553;
п;0.14293;0.00000;0.00000;0.00000;0.00000;0.02382;0.00000;0.00000;0.00000;0.11911;0.00000;0.00000;0.00000;0.00000;0.04764;0.40498;0.00000;0.23822;0.00000;0.02382;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
р;0.18615;0.00000;0.00000;0.04654;0.01163;0.10471;0.00000;0.01163;0.00000;0.20941;0.00000;0.01163;0.00000;0.01163;0.01163;0.16288;0.00000;0.00000;0.01163;0.03490;0.09307;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.05817;0.00000;0.00000;0.00000;0.03490;
