,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ъ,ы,ь,э,ю,я
a,0.005235602094,0.001745200698,0.000000000000,0.001745200698,0.003490401396,0.001745200698,0.001745200698,0.000000000000,0.008726003490,0.003490401396,0.001745200698,0.001745200698,0.001745200698,0.005235602094,0.008726003490,0.001745200698,0.006980802792,0.006980802792,0.012216404887,0.001745200698,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.005235602094,0.000000000000,0.000000000000,0.001745200698
b,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.001745200698,0.001745200698,0.000000000000,0.001745200698,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
c,0.001745200698,0.000000000000,0.001745200698,0.000000000000,0.000000000000,0.006980802792,0.000000000000,0.001745200698,0.000000000000,0.000000000000,0.005235602094,0.000000000000,0.001745200698,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.003490401396,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
d,0.003490401396,0.000000000000,0.001745200698,0.000000000000,0.003490401396,0.001745200698,0.000000000000,0.000000000000,0.001745200698,0.001745200698,0.000000000000,0.000000000000,0.003490401396,0.000000000000,0.003490401396,0.000000000000,0.001745200698,0.000000000000,0.001745200698,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
e,0.005235602094,0.001745200698,0.006980802792,0.000000000000,0.008726003490,0.008726003490,0.000000000000,0.003490401396,0.005235602094,0.001745200698,0.001745200698,0.006980802792,0.010471204188,0.005235602094,0.013961605585,0.000000000000,0.001745200698,0.003490401396,0.013961605585,0.005235602094,0.000000000000,0.000000000000,0.001745200698,0.001745200698,0.000000000000,0.000000000000,0.000000000000,0.003490401396,0.000000000000,0.000000000000,0.000000000000,0.001745200698
f,0.001745200698,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.003490401396,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.003490401396,0.001745200698,0.003490401396,0.001745200698,0.003490401396,0.000000000000,0.000000000000,0.000000000000,0.001745200698,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.001745200698,0.000000000000,0.000000000000,0.000000000000
g,0.001745200698,0.000000000000,0.001745200698,0.001745200698,0.000000000000,0.005235602094,0.000000000000,0.000000000000,0.000000000000,0.001745200698,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.001745200698,0.001745200698,0.001745200698,0.000000000000,0.003490401396,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
h,0.003490401396,0.000000000000,0.005235602094,0.000000000000,0.001745200698,0.003490401396,0.000000000000,0.000000000000,0.001745200698,0.000000000000,0.000000000000,0.003490401396,0.001745200698,0.001745200698,0.005235602094,0.003490401396,0.003490401396,0.001745200698,0.000000000000,0.001745200698,0.000000000000,0.000000000000,0.000000000000,0.001745200698,0.003490401396,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.001745200698,0.000000000000
i,0.006980802792,0.003490401396,0.000000000000,0.001745200698,0.001745200698,0.005235602094,0.006980802792,0.001745200698,0.013961605585,0.000000000000,0.005235602094,0.001745200698,0.000000000000,0.005235602094,0.013961605585,0.000000000000,0.008726003490,0.006980802792,0.005235602094,0.001745200698,0.000000000000,0.000000000000,0.001745200698,0.001745200698,0.000000000000,0.000000000000,0.000000000000,0.001745200698,0.001745200698,0.000000000000,0.000000000000,0.000000000000
j,0.000000000000,0.001745200698,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.001745200698,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.001745200698,0.000000000000,0.000000000000,0.000000000000
k,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.001745200698,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
l,0.001745200698,0.000000000000,0.005235602094,0.001745200698,0.000000000000,0.005235602094,0.000000000000,0.000000000000,0.001745200698,0.000000000000,0.003490401396,0.000000000000,0.000000000000,0.003490401396,0.005235602094,0.001745200698,0.003490401396,0.006980802792,0.005235602094,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.003490401396,0.000000000000,0.001745200698,0.001745200698
m,0.001745200698,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.005235602094,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.001745200698,0.001745200698,0.000000000000,0.003490401396,0.000000000000,0.001745200698,0.001745200698,0.001745200698,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.001745200698,0.001745200698,0.000000000000,0.001745200698,0.000000000000
n,0.006980802792,0.003490401396,0.003490401396,0.001745200698,0.000000000000,0.012216404887,0.000000000000,0.000000000000,0.001745200698,0.000000000000,0.005235602094,0.001745200698,0.001745200698,0.003490401396,0.012216404887,0.001745200698,0.003490401396,0.010471204188,0.005235602094,0.003490401396,0.000000000000,0.001745200698,0.000000000000,0.000000000000,0.000000000000,0.001745200698,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.005235602094
o,0.005235602094,0.003490401396,0.006980802792,0.001745200698,0.001745200698,0.005235602094,0.000000000000,0.000000000000,0.006980802792,0.003490401396,0.001745200698,0.006980802792,0.000000000000,0.003490401396,0.003490401396,0.000000000000,0.006980802792,0.005235602094,0.001745200698,0.001745200698,0.000000000000,0.003490401396,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.001745200698,0.003490401396,0.000000000000,0.001745200698,0.000000000000
p,0.001745200698,0.000000000000,0.001745200698,0.000000000000,0.001745200698,0.005235602094,0.001745200698,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.001745200698,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.005235602094,0.001745200698,0.001745200698,0.000000000000,0.001745200698,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.001745200698,0.000000000000,0.000000000000,0.000000000000,0.000000000000
q,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
r,0.000000000000,0.000000000000,0.001745200698,0.000000000000,0.000000000000,0.003490401396,0.000000000000,0.000000000000,0.001745200698,0.000000000000,0.001745200698,0.000000000000,0.003490401396,0.003490401396,0.005235602094,0.003490401396,0.000000000000,0.005235602094,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.001745200698,0.000000000000,0.000000000000,0.000000000000,0.001745200698,0.005235602094,0.000000000000,0.000000000000,0.000000000000
s,0.006980802792,0.000000000000,0.000000000000,0.001745200698,0.000000000000,0.000000000000,0.000000000000,0.001745200698,0.005235602094,0.001745200698,0.008726003490,0.005235602094,0.005235602094,0.001745200698,0.008726003490,0.001745200698,0.001745200698,0.003490401396,0.003490401396,0.001745200698,0.000000000000,0.001745200698,0.000000000000,0.003490401396,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.003490401396
t,0.006980802792,0.003490401396,0.003490401396,0.000000000000,0.000000000000,0.013961605585,0.003490401396,0.000000000000,0.010471204188,0.003490401396,0.001745200698,0.000000000000,0.003490401396,0.005235602094,0.015706806283,0.005235602094,0.005235602094,0.005235602094,0.012216404887,0.001745200698,0.000000000000,0.003490401396,0.000000000000,0.001745200698,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.005235602094,0.000000000000,0.000000000000,0.000000000000
u,0.001745200698,0.000000000000,0.000000000000,0.000000000000,0.001745200698,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.005235602094,0.001745200698,0.001745200698,0.000000000000,0.001745200698,0.001745200698,0.001745200698,0.000000000000,0.000000000000,0.003490401396,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.003490401396,0.001745200698,0.000000000000,0.000000000000,0.000000000000
v,0.001745200698,0.000000000000,0.000000000000,0.000000000000,0.001745200698,0.003490401396,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.003490401396,0.000000000000,0.000000000000,0.000000000000,0.003490401396,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.001745200698,0.000000000000,0.000000000000,0.000000000000,0.000000000000
w,0.001745200698,0.000000000000,0.000000000000,0.000000000000,0.001745200698,0.000000000000,0.000000000000,0.000000000000,0.001745200698,0.000000000000,0.000000000000,0.001745200698,0.000000000000,0.000000000000,0.001745200698,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.001745200698,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
x,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.001745200698,0.000000000000,0.000000000000,0.001745200698,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
y,0.001745200698,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.003490401396,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.001745200698,0.001745200698,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.001745200698,0.001745200698,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.001745200698,0.000000000000,0.000000000000,0.000000000000,0.001745200698
z,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
