,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ъ,ы,ь,э,ю,я
а,0.000000000000,0.003367003367,0.005050505051,0.001683501684,0.006734006734,0.001683501684,0.001683501684,0.003367003367,0.000000000000,0.001683501684,0.003367003367,0.008417508418,0.008417508418,0.003367003367,0.000000000000,0.000000000000,0.006734006734,0.005050505051,0.010101010101,0.000000000000,0.000000000000,0.003367003367,0.000000000000,0.001683501684,0.001683501684,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
б,0.001683501684,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.001683501684,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.001683501684,0.000000000000,0.000000000000,0.006734006734,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.003367003367,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.003367003367,0.000000000000,0.000000000000,0.000000000000,0.001683501684
в,0.003367003367,0.000000000000,0.000000000000,0.000000000000,0.003367003367,0.011784511785,0.000000000000,0.000000000000,0.001683501684,0.000000000000,0.000000000000,0.003367003367,0.000000000000,0.000000000000,0.005050505051,0.000000000000,0.000000000000,0.003367003367,0.001683501684,0.003367003367,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.005050505051,0.000000000000,0.000000000000,0.000000000000,0.000000000000
г,0.005050505051,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.005050505051,0.000000000000,0.001683501684,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
д,0.001683501684,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.006734006734,0.000000000000,0.000000000000,0.005050505051,0.000000000000,0.000000000000,0.001683501684,0.000000000000,0.001683501684,0.006734006734,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.001683501684,0.000000000000,0.000000000000,0.001683501684,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.003367003367,0.000000000000,0.000000000000,0.000000000000
е,0.000000000000,0.005050505051,0.001683501684,0.000000000000,0.005050505051,0.001683501684,0.000000000000,0.000000000000,0.000000000000,0.008417508418,0.001683501684,0.005050505051,0.005050505051,0.006734006734,0.000000000000,0.000000000000,0.013468013468,0.008417508418,0.020202020202,0.000000000000,0.000000000000,0.003367003367,0.000000000000,0.001683501684,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.003367003367,0.000000000000
ж,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.001683501684,0.010101010101,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.003367003367,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
з,0.005050505051,0.000000000000,0.001683501684,0.000000000000,0.000000000000,0.003367003367,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.001683501684,0.001683501684,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
и,0.000000000000,0.000000000000,0.001683501684,0.001683501684,0.000000000000,0.003367003367,0.000000000000,0.003367003367,0.003367003367,0.003367003367,0.003367003367,0.001683501684,0.005050505051,0.003367003367,0.000000000000,0.000000000000,0.000000000000,0.003367003367,0.011784511785,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.001683501684,0.001683501684,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.001683501684
й,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.003367003367,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
к,0.003367003367,0.000000000000,0.005050505051,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.005050505051,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.021885521886,0.000000000000,0.003367003367,0.000000000000,0.001683501684,0.003367003367,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
