symbol,index(1..),probability
а,1,0.0675862069
б,2,0.0179310345
в,3,0.0455172414
г,4,0.0096551724
д,5,0.0289655172
е,6,0.0855172414
ж,7,0.0124137931
з,8,0.0110344828
и,9,0.0620689655
й,10,0.0179310345
к,11,0.0427586207
л,12,0.0358620690
м,13,0.0400000000
н,14,0.0468965517
о,15,0.1186206897
п,16,0.0303448276
р,17,0.0524137931
с,18,0.0620689655
т,19,0.0772413793
у,20,0.0248275862
ф,21,0.0013793103
х,22,0.0137931034
ц,23,0.0027586207
ч,24,0.0110344828
ш,25,0.0041379310
щ,26,0.0013793103
ъ,27,0.0000000000
ы,28,0.0206896552
ь,29,0.0303448276
э,30,0.0000000000
ю,31,0.0096551724
я,32,0.0151724138
