;а;б;в;г;д;е;ё;ж;з;и;й;к;л;м;н;о;п;р;с;т;у;ф;х;ц;ч;ш;щ;ъ;ы;ь;э;ю;я;
а;0.00000;0.00262;0.00611;0.00000;0.00611;0.00262;0.00000;0.00000;0.00000;0.00262;0.00349;0.00349;0.00611;0.00611;0.01485;0.00000;0.00175;0.00087;0.00524;0.00437;0.00000;0.00000;0.00000;0.00000;0.00087;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00349;0.00087;
б;0.00087;0.00087;0.00000;0.00000;0.00000;0.00349;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00087;0.00000;0.00000;0.00175;0.00000;0.00000;0.00087;0.00000;0.00611;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00262;0.00000;0.00000;0.00000;0.00000;
в;0.00349;0.00000;0.00087;0.00000;0.00000;0.00437;0.00000;0.00000;0.00000;0.00524;0.00000;0.00087;0.00087;0.00175;0.00000;0.00349;0.00175;0.00087;0.00349;0.00175;0.00349;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00087;0.00000;0.00000;
г;0.00000;0.00000;0.00000;0.00000;0.00087;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00087;0.00699;0.00000;0.00262;0.00000;0.00000;0.00087;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
д;0.00437;0.00000;0.00087;0.00000;0.00000;0.01310;0.00000;0.00087;0.00000;0.00611;0.00000;0.00262;0.00000;0.00000;0.00087;0.00437;0.00000;0.00000;0.00000;0.00000;0.00611;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00262;0.00087;0.00000;0.00000;0.00087;
е;0.00087;0.00087;0.00262;0.00087;0.00349;0.00000;0.00000;0.00175;0.00175;0.00175;0.00175;0.00175;0.00262;0.00262;0.00524;0.00087;0.00349;0.01135;0.00786;0.01485;0.00087;0.00000;0.00087;0.00000;0.00262;0.00262;0.00262;0.00000;0.00000;0.00000;0.00000;0.00087;0.00262;
ё;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
ж;0.00000;0.00000;0.00000;0.00000;0.00087;0.00611;0.00000;0.00000;0.00000;0.00175;0.00000;0.00000;0.00000;0.00000;0.00175;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
з;0.00000;0.00000;0.00175;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00087;0.00087;0.00262;0.00087;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00087;0.00087;0.00000;0.00000;0.00000;
и;0.00175;0.00175;0.00611;0.00087;0.00699;0.00524;0.00000;0.00000;0.00000;0.00000;0.00087;0.00262;0.00699;0.00175;0.00524;0.00000;0.00087;0.00175;0.00175;0.00961;0.00000;0.00000;0.00175;0.00000;0.00175;0.00262;0.00000;0.00000;0.00000;0.00000;0.00000;0.00087;0.00000;
й;0.00087;0.00000;0.00175;0.00000;0.00175;0.00087;0.00000;0.00000;0.00000;0.00087;0.00000;0.00087;0.00000;0.00000;0.00000;0.00000;0.00087;0.00000;0.00175;0.00349;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
к;0.00349;0.00000;0.00000;0.00000;0.00087;0.00000;0.00000;0.00000;0.00000;0.00349;0.00000;0.00000;0.00087;0.00000;0.00000;0.01135;0.00087;0.00000;0.00000;0.00087;0.00262;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
л;0.00524;0.00000;0.00000;0.00087;0.00000;0.00087;0.00000;0.00000;0.00000;0.00524;0.00000;0.00000;0.00000;0.00000;0.00175;0.00437;0.00087;0.00000;0.00000;0.00175;0.00437;0.00000;0.00000;0.00000;0.00087;0.00000;0.00000;0.00000;0.00087;0.00961;0.00000;0.00262;0.00087;
м;0.00524;0.00087;0.00087;0.00175;0.00000;0.00349;0.00000;0.00000;0.00000;0.00087;0.00000;0.00000;0.00000;0.00175;0.00524;0.00786;0.00000;0.00175;0.00175;0.00000;0.00262;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00087;0.00000;0.00000;
н;0.01310;0.00000;0.00000;0.00000;0.00262;0.00961;0.00000;0.00000;0.00000;0.00699;0.00000;0.00000;0.00000;0.00000;0.00699;0.02096;0.00000;0.00087;0.00087;0.00262;0.00175;0.00000;0.00000;0.00000;0.00087;0.00000;0.00087;0.00000;0.00524;0.00087;0.00000;0.00000;0.00087;
о;0.00000;0.00699;0.00524;0.00786;0.00786;0.00087;0.00000;0.00699;0.00262;0.00262;0.00524;0.00175;0.00611;0.01135;0.01223;0.00000;0.00524;0.00699;0.00699;0.00437;0.00175;0.00087;0.00262;0.00000;0.00611;0.00175;0.00087;0.00000;0.00000;0.00000;0.00000;0.00000;0.00175;
п;0.00262;0.00000;0.00000;0.00000;0.00000;0.00175;0.00000;0.00000;0.00000;0.00262;0.00000;0.00000;0.00437;0.00000;0.00000;0.01048;0.00349;0.00611;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00087;0.00000;0.00000;0.00000;0.00000;
р;0.00524;0.00000;0.00087;0.00000;0.00000;0.00786;0.00000;0.00000;0.00000;0.00611;0.00000;0.00087;0.00000;0.00087;0.00087;0.00961;0.00000;0.00087;0.00000;0.00175;0.00437;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00087;0.00000;
с;0.00262;0.00000;0.00000;0.00000;0.00087;0.00087;0.00000;0.00000;0.00000;0.00175;0.00000;0.00175;0.00699;0.00175;0.00175;0.00087;0.00175;0.00000;0.00087;0.00961;0.00175;0.00087;0.00262;0.00000;0.00000;0.00087;0.00000;0.00000;0.00087;0.00087;0.00000;0.00000;0.00349;
т;0.00873;0.00087;0.00000;0.00000;0.00175;0.00524;0.00000;0.00000;0.00000;0.00524;0.00000;0.00087;0.00000;0.00175;0.00524;0.01747;0.00000;0.00524;0.00524;0.00087;0.00087;0.00087;0.00000;0.00000;0.00175;0.00000;0.00000;0.00000;0.00349;0.00786;0.00000;0.00000;0.00087;
у;0.00087;0.00087;0.00087;0.00000;0.00786;0.00000;0.00000;0.00000;0.00175;0.00175;0.00087;0.00087;0.00087;0.00175;0.00175;0.00087;0.00524;0.00000;0.00087;0.00611;0.00000;0.00175;0.00000;0.00000;0.00437;0.00175;0.00000;0.00000;0.00000;0.00000;0.00087;0.00175;0.00000;
