;а;б;в;г;д;е;ё;ж;з;и;й;к;л;м;н;о;п;р;с;т;у;ф;х;ц;ч;ш;щ;ъ;ы;ь;э;ю;я;
а;0.00000;0.03662;0.08544;0.00000;0.08544;0.03662;0.00000;0.00000;0.00000;0.03662;0.04882;0.04882;0.08544;0.08544;0.20750;0.00000;0.02441;0.01221;0.07323;0.06103;0.00000;0.00000;0.00000;0.00000;0.01221;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.04882;0.01221;
б;0.05004;0.05004;0.00000;0.00000;0.00000;0.20017;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.05004;0.00000;0.00000;0.10009;0.00000;0.00000;0.05004;0.00000;0.35031;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.15013;0.00000;0.00000;0.00000;0.00000;
в;0.10536;0.00000;0.02634;0.00000;0.00000;0.13169;0.00000;0.00000;0.00000;0.15803;0.00000;0.02634;0.02634;0.05268;0.00000;0.10536;0.05268;0.02634;0.10536;0.05268;0.10536;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.02634;0.00000;0.00000;
г;0.00000;0.00000;0.00000;0.00000;0.07149;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.07149;0.57193;0.00000;0.21447;0.00000;0.00000;0.07149;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
д;0.10009;0.00000;0.02002;0.00000;0.00000;0.30026;0.00000;0.02002;0.00000;0.14012;0.00000;0.06005;0.00000;0.00000;0.02002;0.10009;0.00000;0.00000;0.00000;0.00000;0.14012;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.06005;0.02002;0.00000;0.00000;0.02002;
е;0.01100;0.01100;0.03300;0.01100;0.04399;0.00000;0.00000;0.02200;0.02200;0.02200;0.02200;0.02200;0.03300;0.03300;0.06599;0.01100;0.04399;0.14298;0.09899;0.18698;0.01100;0.00000;0.01100;0.00000;0.03300;0.03300;0.03300;0.00000;0.00000;0.00000;0.00000;0.01100;0.03300;
ё;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
ж;0.00000;0.00000;0.00000;0.00000;0.08341;0.58384;0.00000;0.00000;0.00000;0.16681;0.00000;0.00000;0.00000;0.00000;0.16681;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
з;0.00000;0.00000;0.20017;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.10009;0.10009;0.30026;0.10009;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.10009;0.10009;0.00000;0.00000;0.00000;
и;0.02860;0.02860;0.10009;0.01430;0.11439;0.08579;0.00000;0.00000;0.00000;0.00000;0.01430;0.04289;0.11439;0.02860;0.08579;0.00000;0.01430;0.02860;0.02860;0.15728;0.00000;0.00000;0.02860;0.00000;0.02860;0.04289;0.00000;0.00000;0.00000;0.00000;0.00000;0.01430;0.00000;
й;0.06672;0.00000;0.13345;0.00000;0.13345;0.06672;0.00000;0.00000;0.00000;0.06672;0.00000;0.06672;0.00000;0.00000;0.00000;0.00000;0.06672;0.00000;0.13345;0.26690;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
к;0.14298;0.00000;0.00000;0.00000;0.03575;0.00000;0.00000;0.00000;0.00000;0.14298;0.00000;0.00000;0.03575;0.00000;0.00000;0.46469;0.03575;0.00000;0.00000;0.03575;0.10724;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
л;0.13055;0.00000;0.00000;0.02176;0.00000;0.02176;0.00000;0.00000;0.00000;0.13055;0.00000;0.00000;0.00000;0.00000;0.04352;0.10879;0.02176;0.00000;0.00000;0.04352;0.10879;0.00000;0.00000;0.00000;0.02176;0.00000;0.00000;0.00000;0.02176;0.23934;0.00000;0.06527;0.02176;
м;0.14647;0.02441;0.02441;0.04882;0.00000;0.09765;0.00000;0.00000;0.00000;0.02441;0.00000;0.00000;0.00000;0.04882;0.14647;0.21970;0.00000;0.04882;0.04882;0.00000;0.07323;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.02441;0.00000;0.00000;
н;0.17457;0.00000;0.00000;0.00000;0.03491;0.12802;0.00000;0.00000;0.00000;0.09310;0.00000;0.00000;0.00000;0.00000;0.09310;0.27931;0.00000;0.01164;0.01164;0.03491;0.02328;0.00000;0.00000;0.00000;0.01164;0.00000;0.01164;0.00000;0.06983;0.01164;0.00000;0.00000;0.01164;
о;0.00000;0.05975;0.04482;0.06722;0.06722;0.00747;0.00000;0.05975;0.02241;0.02241;0.04482;0.01494;0.05228;0.09710;0.10457;0.00000;0.04482;0.05975;0.05975;0.03735;0.01494;0.00747;0.02241;0.00000;0.05228;0.01494;0.00747;0.00000;0.00000;0.00000;0.00000;0.00000;0.01494;
п;0.08115;0.00000;0.00000;0.00000;0.00000;0.05410;0.00000;0.00000;0.00000;0.08115;0.00000;0.00000;0.13525;0.00000;0.00000;0.32461;0.10820;0.18935;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.02705;0.00000;0.00000;0.00000;0.00000;
р;0.13055;0.00000;0.02176;0.00000;0.00000;0.19582;0.00000;0.00000;0.00000;0.15231;0.00000;0.02176;0.00000;0.02176;0.02176;0.23934;0.00000;0.02176;0.00000;0.04352;0.10879;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.02176;0.00000;
с;0.06128;0.00000;0.00000;0.00000;0.02043;0.02043;0.00000;0.00000;0.00000;0.04085;0.00000;0.04085;0.16341;0.04085;0.04085;0.02043;0.04085;0.00000;0.02043;0.22469;0.04085;0.02043;0.06128;0.00000;0.00000;0.02043;0.00000;0.00000;0.02043;0.02043;0.00000;0.00000;0.08170;
т;0.11775;0.01177;0.00000;0.00000;0.02355;0.07065;0.00000;0.00000;0.00000;0.07065;0.00000;0.01177;0.00000;0.02355;0.07065;0.23550;0.00000;0.07065;0.07065;0.01177;0.01177;0.01177;0.00000;0.00000;0.02355;0.00000;0.00000;0.00000;0.04710;0.10597;0.00000;0.00000;0.01177;
у;0.02002;0.02002;0.02002;0.00000;0.18016;0.00000;0.00000;0.00000;0.04003;0.04003;0.02002;0.02002;0.02002;0.04003;0.04003;0.02002;0.12010;0.00000;0.02002;0.14012;0.00000;0.04003;0.00000;0.00000;0.10009;0.04003;0.00000;0.00000;0.00000;0.00000;0.02002;0.04003;0.00000;
ф;0.00000;0.00000;0.00000;0.00000;0.00000;0.40035;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.20017;0.00000;0.00000;0.00000;0.00000;0.40035;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
х;0.07699;0.00000;0.00000;0.00000;0.00000;0.07699;0.00000;0.00000;0.07699;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.69291;0.07699;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
ц;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
ч;0.17406;0.00000;0.00000;0.00000;0.00000;0.30461;0.00000;0.00000;0.00000;0.04352;0.00000;0.00000;0.00000;0.00000;0.21758;0.00000;0.00000;0.00000;0.00000;0.21758;0.04352;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
ш;0.30796;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.07699;0.00000;0.07699;0.07699;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.23097;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.23097;0.00000;0.00000;0.00000;
щ;0.40035;0.00000;0.00000;0.00000;0.00000;0.40035;0.00000;0.00000;0.00000;0.20017;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
ъ;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
ы;0.05004;0.05004;0.10009;0.00000;0.00000;0.10009;0.00000;0.00000;0.05004;0.05004;0.05004;0.05004;0.05004;0.05004;0.05004;0.05004;0.00000;0.05004;0.00000;0.10009;0.00000;0.00000;0.10009;0.00000;0.00000;0.05004;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
ь;0.03707;0.00000;0.07414;0.00000;0.03707;0.03707;0.00000;0.03707;0.00000;0.00000;0.00000;0.14828;0.00000;0.07414;0.07414;0.07414;0.00000;0.00000;0.03707;0.07414;0.00000;0.00000;0.03707;0.00000;0.00000;0.03707;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.22242;
э;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.33362;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.66725;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
ю;0.00000;0.08341;0.00000;0.00000;0.08341;0.00000;0.00000;0.00000;0.00000;0.08341;0.00000;0.00000;0.00000;0.08341;0.00000;0.08341;0.08341;0.00000;0.25022;0.08341;0.00000;0.00000;0.00000;0.00000;0.08341;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.08341;
я;0.00000;0.00000;0.09532;0.00000;0.00000;0.00000;0.00000;0.00000;0.04766;0.09532;0.00000;0.04766;0.04766;0.00000;0.14298;0.04766;0.19064;0.00000;0.09532;0.09532;0.04766;0.00000;0.04766;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
